//X Y Z Planarity_(0.155122) Surface_variation_(0.155122) Verticality_(0.155122)
-7.53959990 -15.39379978 19.56320000 0.480353 0.183950 0.538610
-9.19939995 -16.22100067 19.08950043 0.297737 0.140489 0.295405
-5.48649979 -16.51729965 22.36090088 nan nan nan
-7.37060022 -15.95779991 19.51329994 0.509698 0.062217 0.441567
-8.05770016 -16.39629936 19.06180000 0.411753 0.080120 0.134917
-6.30630016 -15.74040031 19.36599922 0.203593 0.206342 0.846157
-5.77880001 -15.20100021 18.13820076 0.677957 0.136972 0.323466
-6.69799995 -15.99639988 18.37770081 0.172768 0.248488 0.968583
-7.59420013 -16.63409996 18.39979935 0.089618 0.062266 0.131615
-8.49940014 -17.37919998 18.37809944 nan nan nan
-8.47360039 -17.77280045 18.45569992 0.312936 0.147702 0.480209
-7.07649994 -16.38400078 17.47340012 0.126480 0.128098 0.568724
-5.81729984 -17.25090027 19.20840073 0.455723 0.169203 0.975506
-4.03719997 -16.42060089 19.25839996 0.262198 0.056821 0.638348
-7.52150011 -16.78580093 16.70610046 nan nan nan
-5.91540003 -16.41220093 17.20249939 0.319775 0.185209 0.845134
-5.76599979 -16.32040024 16.90649986 0.102406 0.108886 0.887928
-7.42080021 -16.53470039 14.99800014 0.161588 0.130185 0.028770
-7.99580002 -17.96540070 16.17169952 0.305393 0.113090 0.566919
-8.29590034 -17.31769943 14.98589993 0.114226 0.071886 0.126480
-9.34889984 -16.98990059 13.63049984 0.150875 0.193808 0.172076
-6.05690002 -17.27809906 16.11720085 0.072072 0.199039 0.479092
-7.56790018 -16.13019943 12.48149967 0.033247 0.128098 0.477785
-7.10419989 -16.55229950 13.17389965 0.231350 0.197391 0.927493
-6.23099995 -16.01659966 13.11569977 0.603468 0.085027 0.432585
-4.89370012 -18.11569977 16.11840057 0.339455 0.161666 0.415341
-6.03910017 -17.81970024 14.68369961 0.352365 0.106560 0.678873
-5.95279980 -16.25060081 12.74670029 0.381487 0.181500 0.246504
-8.00739956 -17.12430000 11.91119957 0.366283 0.091968 0.318170
-6.79479980 -16.45779991 11.45619965 0.106246 0.031630 0.457456
-6.17040014 -17.17530060 11.92000008 0.409556 0.138203 0.896369
-5.27710009 -16.43440056 11.75349998 0.742143 0.105560 0.456614
-4.97639990 -16.34860039 11.27130032 0.097588 0.282457 0.716141
-6.30299997 -17.53709984 10.86100006 0.344228 0.199560 0.393540
-5.75110006 -16.11400032 9.95079994 0.477755 0.198590 0.193876
-6.62190008 -16.06489944 21.02129936 0.328087 0.080169 0.549900
-5.66779995 -17.12159920 19.38660049 0.238481 0.202148 0.415113
-7.10069990 -16.26379967 1.02090001 0.687914 0.055210 0.957530
-7.08510017 -16.31209946 2.28509998 0.675196 0.080734 0.957806
-7.14260006 -16.30060005 2.30480003 0.779801 0.052614 0.994996
-8.97749996 -14.49359989 -1.25129998 0.199228 0.169284 0.080511
-6.98000002 -16.49740028 2.59150004 0.710044 0.063071 0.988769
-7.08059978 -16.33189964 3.36520004 0.588790 0.075137 0.944220
-5.52120018 -16.14450073 9.93620014 0.184410 0.153784 0.304503
-6.55579996 -17.76589966 10.30790043 0.297749 0.251805 0.111512
-6.70769978 -17.81279945 10.43910027 0.243772 0.155927 0.794515
-7.02869987 -16.45330048 8.61639977 0.627755 0.094641 0.940052
-7.11110020 -16.38150024 9.51329994 0.670183 0.064312 0.903381
-7.57240009 -16.98600006 9.99400043 0.443493 0.104214 0.038417
-7.98699999 -17.00519943 9.41440010 0.199246 0.087743 0.776388
-8.13239956 -17.01659966 9.52359962 0.238597 0.181513 0.905118
-7.40049982 -18.36289978 13.21720028 0.325163 0.216606 0.225791
-8.39150047 -16.98839951 9.71119976 0.302249 0.043352 0.389816
-8.18739986 -16.43350029 10.35690022 0.196221 0.134376 0.927351
-8.41909981 -17.50790024 12.76469994 0.486420 0.194723 0.973729
-9.31250000 -17.33930016 12.43299961 0.013537 0.230780 0.720090
-9.58660030 -17.14189911 12.61569977 0.158748 0.254574 0.950160
-10.16460037 -17.21339989 12.07509995 0.119499 0.181096 0.848104
-8.95129967 -16.81769943 14.11880016 0.253061 0.181786 0.938918
-9.37950039 -15.44869995 14.10149956 0.377022 0.205493 0.320898
-7.09590006 -16.34550095 5.35650015 0.607376 0.051417 0.956152
-6.97879982 -16.44379997 6.92899990 0.599929 0.099638 0.898388
-7.10570002 -16.35549927 7.04160023 0.447161 0.073279 0.959356
-6.26660013 -17.08349991 9.02550030 0.194491 0.071166 0.656086
-7.10279989 -16.37840080 7.91340017 0.502622 0.087830 0.950391
-7.15840006 -16.37630081 7.96430016 0.561346 0.083911 0.906965
-4.81680012 -16.38330078 11.36240005 0.372184 0.170489 0.798436
-4.87360001 -16.36479950 11.42140007 0.486057 0.191188 0.821156
-4.92199993 -16.35499954 11.47430038 0.331234 0.199656 0.736530
-6.40640020 -17.60149956 11.29930019 0.501979 0.170977 0.445035
-6.46120024 -17.58499908 11.35410023 0.359810 0.169201 0.313846
-5.99319983 -17.39920044 11.90050030 0.346067 0.173595 0.250365
-5.45359993 -16.28669930 12.06830025 0.654459 0.103030 0.462058
-6.02880001 -19.02540016 14.92510033 0.316583 0.171515 0.038125
-6.08179998 -18.99419975 14.97830009 0.183650 0.233994 0.203190
-5.38880014 -17.83550072 15.00389957 0.133959 0.257724 0.009860
-8.39400005 -16.56620026 10.05640030 0.209036 0.187624 0.874768
-5.10710001 -17.82850075 16.02389908 0.104512 0.217819 0.420404
-5.13180017 -17.68519974 15.98709965 0.230438 0.213472 0.023339
-5.48540020 -15.54979992 12.97249985 0.127250 0.233977 0.259643
-6.23869991 -16.21570015 12.96389961 0.268478 0.162592 0.517362
-5.24599981 -17.45919991 16.03219986 0.156568 0.183898 0.696035
-8.22239971 -16.31889915 10.85369968 0.069097 0.194693 0.069073
-8.24890041 -17.49990082 13.25139999 0.408742 0.181633 0.930966
-6.71220016 -17.03960037 15.03369999 0.133594 0.188050 0.383067
-7.91849995 -15.84990025 12.53960037 0.265315 0.102371 0.077244
-8.41689968 -16.70450020 13.26089954 0.068179 0.079270 0.252732
-5.19449997 -17.40180016 19.05690002 0.385163 0.183973 0.223459
-9.21459961 -16.83699989 12.99269962 0.217986 0.161773 0.024657
-6.08349991 -16.36260033 16.65489960 0.507824 0.124958 0.859803
-8.40060043 -16.76849937 14.43809986 0.228691 0.108107 0.821158
-9.04599953 -16.94319916 13.99100018 0.321647 0.229263 0.811153
-6.05810022 -17.05389977 18.49419975 0.376207 0.003324 0.922930
-6.90810013 -15.06159973 14.56439972 0.180476 0.181378 0.428619
-6.89979982 -14.90499973 14.49800014 0.149332 0.146543 0.642866
-6.37389994 -16.97509956 18.91950035 0.425046 0.108701 0.159995
-8.55469990 -16.74690056 15.87689972 0.541466 0.141404 0.854931
-9.12889957 -16.81959915 16.58790016 0.082067 0.202345 0.862509
-9.47700024 -15.35929966 14.11979961 0.278727 0.040726 0.139664
-6.12389994 -15.64210033 19.46010017 0.038234 0.167972 0.721927
-6.16149998 -15.56420040 19.47430038 0.247872 0.243667 0.667802
-7.69689989 -16.38109970 18.93549919 0.498462 0.090867 0.076644
-8.94079971 -14.99769974 15.81509972 0.258656 0.240622 0.434214
-7.02890015 -16.27029991 21.29509926 nan nan nan
-7.00579977 -13.29179955 16.53820038 0.056871 0.000007 0.394224
-9.30819988 -16.40690041 19.60689926 0.491967 0.010816 0.630682
-5.27950001 -18.36140060 14.75520039 0.472341 0.112674 0.774229
-5.30189991 -18.24880028 14.75500011 0.246119 0.224637 0.676543
-5.34310007 -18.20229912 14.80589962 0.279605 0.200561 0.606537
-4.84289980 -18.40760040 15.65320015 0.156447 0.207539 0.309677
-5.29640007 -15.63930035 12.58990002 0.488494 0.184573 0.702632
-6.11009979 -16.19630051 12.65289974 0.501732 0.061353 0.597069
-6.31449986 -16.17510033 12.94159985 0.280751 0.085913 0.674522
-6.72959995 -16.00510025 13.49720001 0.131752 0.192092 0.251368
-7.23000002 -16.37809944 14.28400040 0.360602 0.149604 0.953536
-6.65150023 -17.28809929 16.56719971 nan nan nan
-5.14599991 -17.46190071 19.29800034 0.022096 0.256145 0.986999
-7.37729979 -16.30599976 15.86050034 0.090459 0.022452 0.063012
-5.62750006 -15.73099995 17.48940086 0.377407 0.155189 0.651820
-7.23740005 -18.19269943 19.51819992 nan nan nan
-7.17110014 -16.39830017 17.06999969 0.148176 0.183361 0.999819
-8.63459969 -16.78359985 16.32719994 0.267225 0.167691 0.844077
-7.26749992 -16.90600014 19.04669952 0.308403 0.023014 0.541315
-7.86170006 -16.73310089 18.24169922 0.341823 0.071280 0.273152
-7.93540001 -16.73690033 18.35519981 0.233341 0.192203 0.888501
-8.42650032 -15.37650013 15.70930004 0.186606 0.172995 0.057303
-5.45769978 -14.69789982 18.36079979 0.102423 0.206619 0.291179
-6.62869978 -16.01959991 19.34720039 0.624111 0.102157 0.034093
-7.98979998 -16.25180054 18.26860046 0.182939 0.040412 0.667964
-8.53660011 -15.08860016 15.78890038 0.174413 0.176281 0.362233
-7.91540003 -16.42119980 19.89150047 0.185715 0.184840 0.914208
-9.85659981 -15.31649971 17.61770058 0.456839 0.031780 0.444928
-9.60190010 -15.15139961 -1.21920002 0.308928 0.095869 0.007701
-8.88640022 -14.77369976 -1.22520006 0.217199 0.087397 0.013552
-7.10430002 -16.33079910 1.91900003 0.680371 0.095744 0.882831
-7.05340004 -16.28700066 1.29209995 0.677205 0.052282 0.948098
-6.93889999 -16.41099930 0.64249998 0.565898 0.078541 0.983632
-9.72570038 -15.75609970 -1.35350001 0.661964 0.059777 0.071969
-6.98710012 -16.34309959 2.93199992 0.506840 0.060021 0.954108
-6.96649981 -16.42440033 1.61860001 0.728384 0.078042 0.931106
-9.20209980 -16.39859962 19.59180069 0.584649 0.025983 0.628647
-8.94470024 -14.67529964 15.87020016 0.424626 0.081150 0.122980
-8.53730011 -16.41979980 18.79330063 0.514565 0.153983 0.439832
-8.93550014 -16.76399994 16.65859985 0.482162 0.160250 0.342499
-7.94670010 -16.59359932 16.79929924 0.195018 0.104703 0.455583
-8.18480015 -18.45050049 19.36549950 0.340682 0.121557 0.484290
-8.55799961 -15.61359978 13.53629971 0.313165 0.094222 0.414706
-6.87150002 -14.29220009 13.48460007 0.554809 0.144294 0.165004
-9.40999985 -17.00830078 13.64099979 0.254563 0.191275 0.305949
-9.15250015 -17.11249924 13.43080044 0.049692 0.069966 0.319967
-7.16660023 -16.39620018 14.62549973 0.274038 0.156406 0.894174
-9.27320004 -17.19739914 12.48740005 0.190988 0.249661 0.861593
-8.02760029 -16.85689926 13.39640045 0.185152 0.041158 0.854950
-6.22450018 -15.73760033 13.37110043 0.293073 0.162527 0.811758
-5.63780022 -17.50379944 15.91170025 0.284567 0.180871 0.557255
-5.48740005 -17.67840004 15.82880020 0.523598 0.173408 0.829080
-8.05090046 -16.63859940 10.34169960 0.264723 0.183815 0.666622
-5.44469976 -15.97539997 12.65349960 0.353878 0.195700 0.051872
-5.05119991 -17.99519920 15.49650002 0.163119 0.021651 0.387640
-7.93690014 -16.96559906 10.30319977 0.184672 0.176301 0.772515
-6.06290007 -16.48439980 11.40820026 0.334614 0.078879 0.563806
-5.56739998 -16.46839905 11.92800045 0.550553 0.098131 0.461850
-4.54969978 -18.32169914 15.10219955 0.110669 0.144662 0.065477
-7.13789988 -17.56130028 9.73639965 0.564725 0.017172 0.690094
-6.83900023 -18.08539963 10.55029964 nan nan nan
-4.85659981 -16.47419930 11.23139954 0.259148 0.188632 0.470154
-7.39820004 -17.83340073 9.05850029 0.032568 0.197983 0.412986
-6.98050022 -16.45310020 7.69460011 0.678890 0.094517 0.892665
-5.32219982 -15.53940010 8.67459965 0.365292 0.179510 0.316522
-6.95889997 -16.41320038 4.52419996 0.705565 0.068032 0.971704
-6.33449984 -14.67049980 20.95739937 0.277267 0.161970 0.847401
-9.00949955 -16.33410072 19.17239952 0.436772 0.084999 0.405612
-7.35650015 -15.57549953 19.67149925 0.408273 0.119146 0.010077
-7.80140018 -15.58549976 18.73769951 0.527410 0.124955 0.133097
-8.96160030 -15.01809978 15.87380028 0.418086 0.155747 0.128692
-7.61390018 -15.84350014 18.60429955 0.101702 0.173024 0.407553
-6.69390011 -16.76269913 21.07999992 0.430000 0.162574 0.906989
-5.70879984 -14.99100018 18.46319962 0.568008 0.111432 0.363051
-5.57000017 -16.54719925 20.98909950 0.159989 0.096404 0.169167
-9.28649998 -16.67000008 16.78689957 0.569250 0.140161 0.121955
-9.88720036 -16.86440086 16.21100044 0.225240 0.070160 0.959276
-7.58769989 -16.38139915 17.34410095 0.481380 0.059575 0.031783
-9.28610039 -15.73130035 14.06040001 0.494345 0.130278 0.084959
-9.75440025 -16.64109993 14.76469994 0.364450 0.171944 0.881398
-7.09899998 -16.42239952 16.72489929 0.258652 0.170561 0.629733
-6.40590000 -16.24469948 17.13640022 0.565694 0.091672 0.453279
-5.44719982 -17.20330048 19.42630005 0.337819 0.224602 0.247115
-7.28049994 -14.80690002 13.84109974 0.274852 0.120095 0.645620
-7.02510023 -16.74340057 16.76460075 0.078358 0.131911 0.986603
-6.22790003 -16.31780052 16.92659950 0.227468 0.192737 0.943261
-5.43510008 -15.91079998 17.05550003 0.044727 0.136414 0.560692
-8.56849957 -15.74160004 13.30070019 0.361587 0.076082 0.399412
-8.48989964 -16.72100067 14.61499977 0.442742 0.128114 0.502135
-8.40530014 -16.69790077 14.51369953 0.485882 0.095237 0.767782
-7.70730019 -15.58860016 13.43280029 nan nan nan
-9.47099972 -17.06389999 13.38440037 0.098947 0.098608 0.606597
-9.38370037 -17.04039955 13.29100037 0.517555 0.073333 0.735152
-9.88599968 -17.10540009 12.68039989 0.409050 0.186381 0.650210
-9.82740021 -17.12619972 12.62619972 0.483844 0.165945 0.601897
-6.32700014 -17.25749969 16.06900024 0.281182 0.153595 0.086438
-7.39739990 -17.56240082 14.84519958 0.211743 0.130959 0.544554
-8.65219975 -16.86720085 12.50879955 0.365197 0.088789 0.752443
-9.40120029 -17.39629936 12.24349976 0.069640 0.240328 0.097099
-9.26920033 -17.54669952 12.13220024 0.277708 0.201234 0.155104
-7.39389992 -16.29400063 12.15460014 0.154370 0.073735 0.069037
-6.94680023 -16.60129929 12.83660030 0.272235 0.043372 0.149283
-6.18559980 -16.15469933 12.96329975 0.579207 0.135770 0.386389
-6.08190012 -17.88610077 14.64710045 0.248931 0.160614 0.795823
-4.92869997 -18.14270020 16.01589966 0.087887 0.227917 0.881518
-5.94140005 -16.27899933 12.70919991 0.447752 0.206771 0.493506
-5.34740019 -18.00939941 15.09889984 0.157734 0.197419 0.734897
-7.99259996 -16.46129990 10.72140026 0.257663 0.166769 0.386610
-7.04050016 -16.74489975 11.86209965 0.541287 0.079302 0.861902
-5.19220018 -18.12080002 14.94089985 0.208313 0.239799 0.353542
-5.05310011 -18.05509949 14.73019981 0.403626 0.162134 0.285033
-7.70459986 -16.49060059 10.43369961 0.064342 0.085238 0.517015
-8.12010002 -17.51440048 10.97449970 0.210562 0.139011 0.885640
-7.20160007 -16.41650009 9.91129971 0.474749 0.118409 0.964327
-5.06890011 -16.33219910 11.67160034 0.402682 0.128139 0.734958
-7.04640007 -16.45140076 9.75529957 0.562689 0.121586 0.990649
-6.44309998 -17.66130066 11.38469982 0.372160 0.179769 0.331851
-7.14309978 -17.21080017 9.93719959 0.070276 0.034696 0.858862
-6.82070017 -17.85849953 10.73359966 0.190668 0.178754 0.929176
-6.12750006 -17.91600037 11.07979965 0.646501 0.143871 0.463484
-7.03910017 -16.44379997 8.78339958 0.432803 0.138620 0.936592
-6.49720001 -17.76390076 10.36830044 0.439456 0.182727 0.630308
-5.23420000 -15.50220013 8.65569973 0.340866 0.224793 0.442222
-5.72410011 -16.42930031 22.78450012 0.318714 0.029603 0.723642
-5.10629988 -16.48780060 21.67690086 0.208314 0.139990 0.843371
-5.52430010 -17.27910042 20.93650055 0.314432 0.000738 0.700946
-5.32900000 -15.60550022 17.81539917 0.306053 0.058523 0.934037
-4.88009977 -16.43009949 19.26370049 0.278499 0.163742 0.642659
-4.65430021 -17.59149933 19.57769966 0.203316 0.116598 0.197254
-7.15339994 -16.22060013 -0.43290001 0.773362 0.036789 0.974818
-7.04279995 -16.28770065 1.43139994 0.747808 0.075359 0.957481
-5.87820005 -13.81760025 -0.43950000 0.286985 0.052287 0.015860
-7.17329979 -16.22100067 -0.59759998 0.688731 0.048971 0.933277
-7.07140017 -16.24510002 0.00930000 0.638178 0.062772 0.937774
-7.08669996 -16.25279999 0.64950001 0.690559 0.073171 0.991448
-7.15880013 -16.27000046 0.66820002 0.793489 0.077598 0.987508
-7.06430006 -16.26059914 1.91460001 0.571778 0.065795 0.921423
-7.12790012 -16.27129936 1.93439996 0.613494 0.045718 0.901263
-7.20109987 -16.30380058 1.95570004 0.573028 0.056665 0.958833
-7.05319977 -16.37109947 5.86469984 0.650657 0.098751 0.952456
-7.11229992 -16.35040092 5.88679981 0.814339 0.074086 0.966181
-7.00920010 -16.48040009 8.02060032 0.549049 0.111390 0.941904
-7.01599979 -16.47249985 8.78390026 0.524698 0.162244 0.900511
-7.24630022 -16.42320061 8.12310028 0.624384 0.072631 0.853468
-7.11079979 -16.38260078 8.80799961 0.567163 0.126339 0.906181
-7.17049980 -16.38240051 8.83899975 0.640689 0.076749 0.989548
-6.95749998 -16.44109917 4.44129992 0.615042 0.075371 0.993177
-6.99340010 -16.38419914 4.45149994 0.645949 0.075550 0.971815
-7.21729994 -16.36249924 3.87120008 0.591613 0.067397 0.980878
-5.06619978 -16.33819962 11.71689987 0.448629 0.116031 0.703766
-5.13070011 -16.33939934 11.75640011 0.392968 0.156165 0.576708
-5.19880009 -16.34040070 11.79769993 0.415499 0.162635 0.618075
-5.26560020 -16.33629990 11.83580017 0.331239 0.117876 0.485195
-6.95769978 -16.49419975 6.50409985 0.463979 0.074617 0.983768
-5.97889996 -17.44790077 11.87880039 0.463964 0.161018 0.461542
-5.46759987 -16.32530022 11.95219994 0.518638 0.110797 0.383884
-7.09480000 -16.36479950 6.54110003 0.710991 0.069851 0.995794
-5.59480000 -16.32369995 12.02890015 0.660999 0.049710 0.554330
-5.66359997 -16.33189964 12.07479954 0.620234 0.080241 0.578511
-5.95590019 -16.38170052 11.38969994 0.457826 0.053979 0.358983
-7.06969976 -16.36549950 7.97599983 0.653470 0.102968 0.943552
-6.97359991 -18.38109970 12.87370014 0.111035 0.241263 0.319530
-7.09410000 -16.36179924 8.74079990 0.624988 0.098467 0.964488
-5.79090023 -15.91720009 12.85420036 0.483299 0.112971 0.336135
-7.23969984 -18.45890045 13.06379986 0.359502 0.206314 0.133957
-7.01529980 -16.44669914 11.15939999 0.417340 0.171351 0.833345
-6.38049984 -17.19359970 16.05970001 0.263867 0.179400 0.074504
-6.61460018 -16.98819923 14.99689960 0.108527 0.271586 0.919372
-6.52680016 -16.00950050 13.37889957 0.498634 0.083236 0.269188
-7.22310019 -16.36890030 12.12709999 0.586098 0.129220 0.793145
-6.95669985 -16.49290085 14.94209957 0.097855 0.171501 0.765991
-7.20349979 -16.38960075 14.02330017 0.152042 0.094704 0.956096
