"point" "x" "y" "z"
"118" "-7.10069990" "-16.33600044" "4.00050020"
"119" "-7.22499990" "-16.34370041" "3.30669999"
"120" "-8.76309967" "-14.55399990" "25.45919991"
"121" "-7.24720001" "-16.18810081" "23.43210030"
"122" "-7.65660000" "-15.18210030" "19.67289925"
"123" "-7.53959990" "-15.39379978" "19.56320000"
"124" "-9.19939995" "-16.22100067" "19.08950043"
"125" "-5.48649979" "-16.51729965" "22.36090088"
"126" "-7.37060022" "-15.95779991" "19.51329994"
"127" "-8.05770016" "-16.39629936" "19.06180000"
"128" "-6.30630016" "-15.74040031" "19.36599922"
"129" "-5.77880001" "-15.20100021" "18.13820076"
"130" "-6.69799995" "-15.99639988" "18.37770081"
"131" "-7.59420013" "-16.63409996" "18.39979935"
"132" "-8.49940014" "-17.37919998" "18.37809944"
"133" "-8.47360039" "-17.77280045" "18.45569992"
"134" "-7.07649994" "-16.38400078" "17.47340012"
"135" "-5.81729984" "-17.25090027" "19.20840073"
"136" "-4.03719997" "-16.42060089" "19.25839996"
"137" "-7.52150011" "-16.78580093" "16.70610046"
"138" "-5.91540003" "-16.41220093" "17.20249939"
"139" "-5.76599979" "-16.32040024" "16.90649986"
"140" "-7.42080021" "-16.53470039" "14.99800014"
"141" "-7.99580002" "-17.96540070" "16.17169952"
"142" "-8.29590034" "-17.31769943" "14.98589993"
"143" "-9.34889984" "-16.98990059" "13.63049984"
"144" "-6.05690002" "-17.27809906" "16.11720085"
"145" "-7.56790018" "-16.13019943" "12.48149967"
"146" "-7.10419989" "-16.55229950" "13.17389965"
"147" "-6.23099995" "-16.01659966" "13.11569977"
"148" "-4.89370012" "-18.11569977" "16.11840057"
"149" "-6.03910017" "-17.81970024" "14.68369961"
"150" "-5.95279980" "-16.25060081" "12.74670029"
"151" "-8.00739956" "-17.12430000" "11.91119957"
"152" "-6.79479980" "-16.45779991" "11.45619965"
"153" "-6.17040014" "-17.17530060" "11.92000008"
"154" "-5.27710009" "-16.43440056" "11.75349998"
"155" "-4.97639990" "-16.34860039" "11.27130032"
"156" "-6.30299997" "-17.53709984" "10.86100006"
"157" "-5.75110006" "-16.11400032" "9.95079994"
"158" "-6.62190008" "-16.06489944" "21.02129936"
"159" "-5.66779995" "-17.12159920" "19.38660049"
"160" "-7.10069990" "-16.26379967" "1.02090001"
"161" "-7.08510017" "-16.31209946" "2.28509998"
"162" "-7.14260006" "-16.30060005" "2.30480003"
"163" "-8.97749996" "-14.49359989" "-1.25129998"
"164" "-6.98000002" "-16.49740028" "2.59150004"
"165" "-7.08059978" "-16.33189964" "3.36520004"
"166" "-5.52120018" "-16.14450073" "9.93620014"
"167" "-6.55579996" "-17.76589966" "10.30790043"
"168" "-6.70769978" "-17.81279945" "10.43910027"
"169" "-7.02869987" "-16.45330048" "8.61639977"
"170" "-7.11110020" "-16.38150024" "9.51329994"
"171" "-7.57240009" "-16.98600006" "9.99400043"
"172" "-7.98699999" "-17.00519943" "9.41440010"
"173" "-8.13239956" "-17.01659966" "9.52359962"
"174" "-7.40049982" "-18.36289978" "13.21720028"
"175" "-8.39150047" "-16.98839951" "9.71119976"
"176" "-8.18739986" "-16.43350029" "10.35690022"
"177" "-8.41909981" "-17.50790024" "12.76469994"
"178" "-9.31250000" "-17.33930016" "12.43299961"
"179" "-9.58660030" "-17.14189911" "12.61569977"
"180" "-10.16460037" "-17.21339989" "12.07509995"
"181" "-8.95129967" "-16.81769943" "14.11880016"
"182" "-9.37950039" "-15.44869995" "14.10149956"
"183" "-7.09590006" "-16.34550095" "5.35650015"
"184" "-6.97879982" "-16.44379997" "6.92899990"
"185" "-7.10570002" "-16.35549927" "7.04160023"
"186" "-6.26660013" "-17.08349991" "9.02550030"
"187" "-7.10279989" "-16.37840080" "7.91340017"
"188" "-7.15840006" "-16.37630081" "7.96430016"
"189" "-4.81680012" "-16.38330078" "11.36240005"
"190" "-4.87360001" "-16.36479950" "11.42140007"
"191" "-4.92199993" "-16.35499954" "11.47430038"
"192" "-6.40640020" "-17.60149956" "11.29930019"
"193" "-6.46120024" "-17.58499908" "11.35410023"
"194" "-5.99319983" "-17.39920044" "11.90050030"
"195" "-5.45359993" "-16.28669930" "12.06830025"
"196" "-6.02880001" "-19.02540016" "14.92510033"
"197" "-6.08179998" "-18.99419975" "14.97830009"
"198" "-5.38880014" "-17.83550072" "15.00389957"
"199" "-8.39400005" "-16.56620026" "10.05640030"
"200" "-5.10710001" "-17.82850075" "16.02389908"
